sifra;naziv;wiki;latnaziv;bojaploda;izgledsjemena;jestivo;sadnja;berba;tipsadnje;nazivmjesta;vrstamjesta
1;patlidžan;https://en.wikipedia.org/wiki/Eggplant;Solanum melongena;ljubičasta;male unutarnje sjemenke;da;kasno proljeće;kasno ljeto;presadnice;mali plastenik;plastenik
1;patlidžan;https://en.wikipedia.org/wiki/Eggplant;Solanum melongena;ljubičasta;male unutarnje sjemenke;da;kasno proljeće;kasno ljeto;presadnice;gredice 1;gredica
2;jagoda;https://en.wikipedia.org/wiki/Strawberry;Fragaria × ananassa;crvena;male vanjske sjemenke;da;ljeto;kasno proljeće;presadnice;veliki plastenik;plastenik
3;mrkva;https://en.wikipedia.org/wiki/Carrot;Carota sativa;narančasta;cvijetno sjeme;da;rano proljeće;rano ljeto;sijanje;gredice 1;gredica
3;mrkva;https://en.wikipedia.org/wiki/Carrot;Carota sativa;narančasta;cvijetno sjeme;da;rano proljeće;rano ljeto;sijanje;box 1;box paleta
4;luk;https://en.wikipedia.org/wiki/Onion;Allium cepa;bijela ili ljubičasta;cvijetno sjeme;da;jesen;proljeće;sijanje ili lukovice;gredice 2;gredica
4;luk;https://en.wikipedia.org/wiki/Onion;Allium cepa;bijela ili ljubičasta;cvijetno sjeme;da;jesen;proljeće;sijanje ili lukovice;box 1;box paleta
5;kelj;https://en.wikipedia.org/wiki/Savoy_cabbage;Brassica oleracea;zelena;cvijetno sjeme;da;proljeće;ljeto;sijanje;gredice 3;gredica
5;kelj;https://en.wikipedia.org/wiki/Savoy_cabbage;Brassica oleracea;zelena;cvijetno sjeme;da;proljeće;ljeto;sijanje;box 2;box paleta
6;rajčica;https://en.wikipedia.org/wiki/Tomato;Solanum lycopersicum;crvena;male unutranje sjemenke;da;kasno proljeće;ljeto;sijanje;mali plastenik;plastenik
6;rajčica;https://en.wikipedia.org/wiki/Tomato;Solanum lycopersicum;crvena;male unutranje sjemenke;da;kasno proljeće;ljeto;sijanje;gredice 2;gredica
7;kupus;https://en.wikipedia.org/wiki/Cabbage;Brassica oleracea;zelena;cvijetno sjeme;da;proljeće;ljeto;sijanje;gredice 1;gredica
8;borovnice;https://en.wikipedia.org/wiki/Blueberry;Vaccinium corymbosum;plava;male unutranje sjemenke;da;jesen;rano ljeto;presadnice;veliki plastenik;plastenik
8;borovnice;https://en.wikipedia.org/wiki/Blueberry;Vaccinium corymbosum;plava;male unutranje sjemenke;da;jesen;rano ljeto;presadnice;red 2;red pokriven folijom
9;paprika;https://en.wikipedia.org/wiki/Bell_pepper;Capsicum annuum;crvena, žuta ili zelena;male unutarnje sjemenke;da;kasno proljeće;kasno ljeto;sijanje;gredice 3;gredica
9;paprika;https://en.wikipedia.org/wiki/Bell_pepper;Capsicum annuum;crvena, žuta ili zelena;male unutarnje sjemenke;da;kasno proljeće;kasno ljeto;sijanje;box 2;box paleta
10;tikvica;https://en.wikipedia.org/wiki/Zucchini;Cucurbita pepo;zelena;male unutarnje sjemenke;da;proljeće;ljeto;sijanje;gredice 2;gredica
